hourly wage,experience,female,education
4.58,24,0,12
4.09,3,1,13
1.83,3,1,13
3.33,14,0,10
4.72,3,1,12
3.06,32,0,12
4.95,9,0,13
11.54,34,0,13
5.63,5,0,14
4.05,10,1,12
1.16,2,1,13
4.1,34,1,8
2.46,17,1,12
4.11,10,1,12
6.11,44,1,13
4.47,11,1,12
4.62,3,1,12
1.28,2,1,13
4.4,25,1,12
1.27,12,1,12
3.95,10,1,12
3.64,8,0,12
3.75,5,1,14
3.21,12,1,13
2.63,6,1,13
5.64,9,0,16
3,2,1,12
1.98,7,1,12
4.81,26,1,12
2.63,13,1,13
3.16,27,1,12
6.27,3,0,13
4.05,8,1,13
1.98,8,1,16
2.18,2,1,12
2.63,4,1,12
2.43,1,1,10
1.98,4,1,12
4.09,5,1,12
2.5,12,1,12
2.51,4,1,12
3.85,7,1,10
5.13,5,0,12
4.81,5,1,12
4.81,3,0,13
7.07,8,1,13
2.31,3,1,13
3.89,4,1,16
1.98,25,1,12
3.75,31,1,12
1.25,5,1,12
7.63,11,0,16
6.54,8,1,13
13.13,24,0,16
4.4,3,1,13
7.69,16,1,13
3.85,7,0,10
7.69,25,0,12
5,19,0,13
8.94,31,0,10
5.09,7,1,17
3.16,1,1,12
10.58,21,0,13
6.87,5,1,12
2.14,4,1,13
5.13,15,1,16
1.95,10,1,13
1.92,8,1,12
2.65,18,1,13
2.62,10,1,17
7.91,6,1,13
8.55,30,0,12
8.44,19,1,13
7.96,30,0,12
7.21,38,0,12
4.67,4,0,10
4.28,7,1,13
3.61,4,1,13
1.92,2,1,14
1.68,5,1,13
4.46,21,1,12
2.11,12,1,13
3.81,4,0,12
6.25,11,1,12
3.08,5,1,13
5.39,45,0,10
7.33,31,0,13
4.92,38,1,12
9.89,35,0,10
2.98,12,1,12
2.92,12,1,12
4.17,34,1,12
3.34,20,1,13
2.26,3,1,14
10.12,18,1,13
6.35,20,1,12
7.8,6,1,13
3.75,9,1,12
3.59,3,1,12
4.52,7,1,13
4.47,12,1,12
5.29,12,1,12
5.29,10,1,13
4.81,9,1,13
1.98,3,1,14
3.17,2,1,13
2.88,40,1,12
3.47,5,1,13
3.92,15,1,12
3.46,13,1,17
4.95,10,1,14
2.18,2,1,12
4.1,23,1,12
2.62,15,1,12
6.59,30,1,13
3.96,15,1,12
4.81,11,1,13
3.75,27,1,12
7.34,9,1,12
2.93,1,1,12
3.47,15,1,12
5.64,16,1,12
3.75,3,1,13
5.45,19,1,17
4.09,18,1,13
3.75,4,1,12
6.73,14,1,12
3.28,8,1,13
3.57,10,1,12
6.01,33,0,12
4.62,9,0,10
6.84,26,0,12
6.41,15,1,10
3.44,31,0,12
3.85,22,0,10
7.15,30,1,12
4.05,3,1,12
2.91,4,0,14
1.92,4,1,12
4.42,9,0,12
8.49,7,0,14
4.28,3,0,13
3.33,5,0,12
8.46,48,0,13
8.65,3,1,12
1.16,5,1,10
1.98,5,1,13
2.57,3,1,12
2.58,6,1,12
2.51,10,1,12
77.72,9,1,13
4.33,26,1,12
4.09,33,0,8
5.73,12,1,12
4.81,11,1,12
7.69,10,1,12
5.73,9,1,12
5.88,17,1,12
4.27,37,0,13
9.62,28,0,16
9.36,16,0,12
3.95,2,1,12
5.73,34,1,12
2.6,7,1,12
3.75,4,1,12
5.61,12,1,14
5.73,20,1,13
3.85,17,1,12
2.88,0,1,12
2.75,7,1,12
11.57,13,0,13
4.33,4,1,13
2.75,3,1,12
5.34,5,1,10
6.56,19,0,12
4.68,12,0,13
1.98,10,1,12
7.96,18,0,12
4.87,18,1,13
3.16,44,1,10
6.25,5,0,12
3,18,1,13
3.75,12,1,12
3.75,6,1,12
6.54,13,1,13
4.19,10,0,13
5.37,20,0,12
2.14,32,1,16
4.81,32,1,12
3.53,8,1,12
4.33,25,1,12
6.13,18,0,12
8.79,31,0,12
8.21,30,0,12
2.39,8,0,10
4.58,18,0,12
6.97,16,0,13
10.12,29,0,12
3.75,30,0,12
3.52,8,0,12
8.41,22,0,10
7.96,15,0,12
8.24,20,0,12
3.22,18,0,12
7.96,36,0,8
8.65,11,0,12
4.27,3,0,10
12.66,22,0,12
7.96,16,0,10
3.49,44,0,10
10.12,20,0,13
3.08,5,0,13
7.96,8,0,12
2.75,2,0,12
3.39,10,0,10
5.49,7,0,12
4.27,11,0,12
5.71,18,0,12
3.46,8,1,14
15.38,37,0,12
8.41,12,0,13
10.12,11,0,12
3.85,7,0,12
4.62,23,0,12
3.41,5,0,12
10.58,22,0,12
10.1,35,0,13
7.96,6,0,13
6.81,14,0,8
7.21,37,0,12
6.41,32,0,8
4.77,30,0,10
6.05,10,0,13
3.75,9,0,10
9.16,14,0,13
3.33,19,0,10
4.77,6,0,14
5.79,28,0,12
3.96,10,1,16
6.41,37,0,12
5.55,41,0,12
12.74,18,0,10
7.69,14,0,13
8.17,12,0,16
6.4,26,0,12
3.57,19,1,12
6.59,22,0,10
7.69,27,0,12
10.26,27,0,12
7.08,25,0,10
10.42,10,0,12
8.08,7,0,12
4.95,7,0,13
9.81,24,0,13
5.77,10,0,12
4.81,3,0,12
11.95,28,0,14
6.12,23,0,12
4.58,37,0,12
2.26,18,1,10
4.37,5,0,12
7.71,42,0,8
7.96,20,1,13
8.93,33,0,12
12.27,25,0,10
5.73,14,1,12
7.26,10,0,13
4.73,21,0,5
5.38,8,0,12
9,42,0,12
4.91,10,0,12
14.31,40,0,10
9.74,13,0,12
4.13,39,0,12
3.75,9,0,13
5.26,26,0,12
21.74,24,0,12
8.81,14,0,12
8.17,12,0,13
7.5,35,0,12
3.42,14,0,12
8.89,18,0,12
4.16,32,0,13
8.17,23,0,12
8.12,22,0,12
10.12,29,0,12
12.5,30,0,13
4.33,15,0,8
5.2,10,0,12
9.62,12,0,10
16.03,25,0,10
9.28,29,0,12
2.81,40,0,8
7.21,34,0,5
8,18,0,12
10.99,22,0,12
4.47,12,0,12
7.07,10,0,12
1.66,15,0,12
7.93,39,0,12
5.23,18,0,12
7.96,18,0,10
7.03,16,0,12
3.75,18,0,8
5.29,4,0,13
4.46,4,0,13
7.96,39,0,13
5.45,16,0,12
6.87,23,0,12
10.3,14,0,17
8.01,12,0,16
6.25,40,0,13
7.96,44,0,10
3.93,8,0,13
7.75,23,0,5
4.3,11,0,12
4.9,8,0,12
5.56,45,0,10
5.73,19,0,12
5.7,19,0,13
4.57,7,0,12
4.15,8,0,13
4.71,34,0,12
7.21,20,0,12
7.04,12,0,13
1.48,13,0,12
3.37,13,1,12
9.62,4,0,12
3.75,3,0,12
7.14,17,0,12
6.99,10,0,13
8.46,26,0,10
4.76,12,0,16
3.9,2,1,13
5.77,11,0,14
8.74,19,0,12
6.56,4,0,16
4.24,9,0,13
4.09,15,0,12
20.99,25,0,10
7.69,7,0,12
4.58,29,0,12
6.49,28,0,12
12.82,3,0,12
9.62,9,0,13
8.89,42,0,12
10.58,17,0,12
7.21,29,0,5
1.65,7,0,10
10.58,15,0,12
3.04,15,0,12
4.55,43,0,10
7.69,44,0,10
3,11,0,13
12.02,31,0,12
5.99,21,0,14
8.94,35,0,13
4,7,0,10
1.98,3,0,12
1.27,0,1,10
5.57,10,0,5
7.36,39,0,12
3.08,5,0,12
9.64,36,0,10
5.09,18,0,10
10.12,17,0,10
9.62,40,0,8
5.77,5,0,12
8.32,26,0,12
5.73,34,0,12
5.73,11,0,12
7.21,43,0,10
8.78,24,0,12
7.96,15,0,13
9.62,11,0,12
7.45,38,0,12
18.46,20,0,12
8.85,9,0,12
8,7,0,10
5.73,47,0,10
10.61,17,0,13
6.84,45,0,13
7.78,9,0,12
4.21,18,0,10
10.12,28,0,12
5.56,10,0,13
5.77,24,0,10
3.85,14,0,12
4.33,31,0,8
4.09,3,1,10
7.69,9,0,12
6.98,38,0,14
5.69,35,1,8
1.2,5,1,12
7.48,3,0,16
3.13,5,1,12
5.61,13,0,12
3.27,4,1,12
6.25,10,0,12
7.69,10,0,13
4,23,1,12
4.66,38,1,10
3.82,4,0,10
5.24,13,0,12
5.13,35,1,10
3.37,2,1,12
6.41,5,1,13
4.81,13,1,12
5.61,25,0,13
7.97,9,0,13
3.75,20,1,13
5.15,10,1,10
5.77,17,0,12
4.94,46,0,12
3.75,3,0,12
1.98,23,0,10
2.52,3,1,8
2.93,42,1,12
5.09,35,0,5
2.4,4,0,13
4.87,12,0,10
6.59,20,0,13
1.2,4,1,12
3.33,8,1,12
1.96,1,1,13
2.73,41,0,8
2.63,0,1,10
3.75,1,0,10
3.08,8,1,10
4.27,44,0,12
4.5,11,0,8
5.53,8,0,12
4.09,5,0,12
4.55,5,0,12
18.74,7,0,10
4.12,12,0,16
5.77,20,0,5
4.81,3,0,12
5.77,6,0,12
4.81,42,1,5
8.65,22,0,12
1.92,3,1,10
5.93,29,0,8
6.01,8,0,12
3.35,4,0,12
6.01,32,0,8
2.96,2,0,12
10.82,24,0,16
4.81,23,0,12
8.79,40,0,12
11.6,14,0,12
4.81,5,0,12
3.75,44,0,8
5.29,12,0,16
6.5,9,0,12
5.82,30,0,10
1.79,2,0,12
4.28,3,0,12
1.98,25,1,10
2.31,9,1,12
3.5,10,1,10
4.37,2,1,12
2.26,23,1,8
3.75,19,1,10
3.75,34,1,12
2.64,8,1,12
2.26,21,1,10
1.83,11,1,10
2.88,20,1,13
1.98,10,1,5
1.98,27,1,10
1.98,25,1,8
3.37,9,1,10
1.98,19,1,8
1.92,26,1,5
3.37,11,1,10
3.75,36,0,5
3.75,6,1,12
6.59,33,0,12
3.75,35,0,10
7.96,42,0,10
3.75,28,0,12
6.61,11,0,12
8.65,42,0,10
5.02,33,0,12
11.54,42,0,10
5.9,25,0,12
3.75,6,0,8
8.7,41,0,12
21.54,34,0,12
3.27,27,1,12
3.3,17,1,10
5.49,44,0,12
2.4,42,1,10
4.09,1,0,12
1.98,35,0,5
7.21,42,0,10
8.5,4,0,16
1.98,1,1,8
7.18,18,0,10
4.81,6,0,16
5.24,15,0,12
9.13,24,0,12
3.75,25,1,12
7.69,40,0,12
8.6,31,0,5
5.29,20,0,10
2.4,0,0,8
3.21,5,0,12
6.67,15,1,10
3.85,5,0,13
8.49,36,0,12
7.21,18,0,10
3.33,22,0,13
4.27,2,1,12
2.88,4,0,13
4.09,10,0,12
2.75,36,1,10
4.12,9,1,8
9.62,15,0,12
5.53,5,0,12
4.01,5,1,13
3.41,4,0,14
6.92,3,0,12
3.75,12,1,12
7.96,5,0,12
3.75,6,1,8
4.28,7,1,12
2.31,35,0,5
3.8,15,1,12
4.09,5,0,12
3.85,12,1,12
3.75,23,1,10
3,10,0,12
3.96,1,0,16
8.55,20,0,12
3.75,14,0,10
6,1,0,8
4.81,6,0,12
2.5,26,0,12
4.32,18,1,10
1.27,4,0,12
5.77,13,1,12
4.2,33,0,10
13.74,28,0,12
2.56,4,0,16
5.13,42,0,13
7.21,39,0,5
4.24,7,0,13
4.1,38,0,12
8.5,19,0,12
5.94,29,0,12
10.54,35,0,10
3.5,18,0,10
5.95,8,0,13
8.89,20,0,13
5.73,34,0,5
1.05,29,0,5
3.85,8,0,13
2.88,4,0,12
8.44,15,0,12
3.61,6,0,12
5.77,20,0,12
3.33,35,0,8
7.96,44,0,5
4.49,17,0,10
2.38,3,0,13
5.08,40,0,12
5.31,18,0,12
5.31,23,0,12
6.54,10,0,10
7.43,18,0,10
5.29,42,0,12
11.09,38,0,8
3.33,5,0,13
3.27,25,0,8
3.85,26,0,8
8.04,11,0,12
4.62,16,0,10
7.96,40,0,5
4.85,7,0,12
6.97,17,0,12
4.81,44,0,12
3.02,6,0,12
3.98,8,0,12
5.56,31,0,12
7.32,26,0,12
7.69,20,0,10
6.29,22,0,13
9.62,11,0,12
7.63,8,0,13
4.29,40,0,5
25.64,13,0,10
4.24,3,0,12
3.87,10,0,12
5.73,18,0,10
3.5,5,1,12
5.05,16,0,10
7.96,10,0,12
7.96,10,0,12
3.41,3,0,12
5.73,40,0,8
8.89,35,0,12
4.81,28,0,10
4.81,16,0,14
3.75,19,0,12
13.41,11,0,10
5.09,10,0,12
2.88,4,0,12
3.21,2,0,14
4.55,5,0,12
5.77,31,0,10
8.85,28,0,14
4.41,9,0,10
4.27,12,0,13
10.12,17,0,13
5.29,37,0,13
5.73,35,0,8
7.63,35,0,12
7.69,10,0,13
6.08,42,0,12
7.49,27,0,12
6.37,5,0,13
6.41,5,1,12
1.98,3,0,12
3.85,37,0,5
7.05,14,0,12
5.13,21,0,13
6.35,7,0,10
6.69,27,0,12
4.62,1,0,13
5.02,31,0,13
4.23,42,0,5
4.33,45,0,5
6.54,34,0,10
7.13,9,0,13
3.85,3,0,10
2.17,2,1,10
5.29,36,0,10
6.49,27,1,12
10.19,39,0,12
5.79,9,0,16
3.82,47,0,12
12.54,13,0,12
7.69,28,0,10
8.55,26,0,12
5.92,34,0,12
13.74,28,0,12
2.12,17,1,14
16.14,10,0,13
1.32,21,0,10
1.79,15,0,12
2.32,15,0,13
3.7,11,0,12
6.75,37,0,10
8.44,43,0,5
26.24,37,0,12
8.88,24,0,12
2.5,17,0,10
7.28,16,0,12
7.84,36,0,12
26.24,37,0,12
6.33,38,0,8
4.16,9,0,12
3.21,36,0,5
2.02,41,1,5
9.23,10,0,12
2.68,33,0,5
8.65,5,1,14
2.08,1,1,12
6.25,47,1,5
1.92,8,0,12
3.08,6,0,10
2.11,12,1,12
3.46,26,1,5
4.81,14,0,10
3.37,13,1,5
5.77,39,0,5
3.34,10,0,13
7.26,27,0,10
3.73,5,0,13
2.21,6,1,12
2.92,32,0,8
3.53,1,0,8
1.8,8,1,12
2.6,15,1,10
1.17,1,0,12
1.88,25,1,10
2.88,15,1,10
1.92,7,1,12
1.88,1,1,12
3.37,12,1,12
1.82,3,1,10
1.46,2,0,10
2.26,3,1,10
2.07,2,1,12
3.54,16,0,13
1.26,32,1,5
2.26,20,1,10
3.95,17,1,12
2.65,15,1,5
3.75,19,1,8
2.26,37,0,5
2.19,29,1,10
2.19,5,1,13
3.21,7,1,5
2.47,23,1,5
3,5,1,12
3.75,29,0,8
2,13,1,12
2.26,10,1,12
2.88,12,1,13
4.69,7,1,12
3.95,9,1,12
6.54,4,0,12
3.57,26,1,12
5.31,15,0,17
2.63,19,1,10
4.33,22,0,16
2.25,12,1,5
2.75,11,1,10
3.29,6,1,12
5.77,13,0,14
4.74,8,1,13
4.12,7,1,13
2.89,12,1,10
6.96,11,0,13
6.41,41,0,12
4.28,7,1,12
1.28,9,1,13
2.56,40,1,10
4.62,7,1,14
1.98,9,1,12
1.92,13,1,13
1.8,33,1,13
1.98,17,1,14
2,3,1,13
2.11,8,1,16
2.11,3,1,10
2.77,9,0,13
3.46,30,1,10
6,5,1,13
4.81,13,0,12
2.33,5,1,12
3.57,9,1,16
1.98,8,1,13
5.13,20,1,10
4.47,3,1,13
2.07,5,1,12
6.97,20,1,13
1.98,2,1,12
4.62,7,1,12
3.21,5,0,13
1.8,46,1,14
4.62,10,1,12
6.11,27,0,12
5.73,39,0,16
3.57,13,0,13
1.58,27,0,12
4.21,7,0,12
1.75,18,1,12
2.15,6,1,12
1.02,11,1,13
2.4,10,1,12
2.83,28,1,13
3.29,2,1,10
1.98,45,1,12
23.16,9,0,10
5.49,13,1,12
3,40,0,13
3.29,10,1,12
2.88,15,1,12
2.63,12,1,10
5.82,20,1,17
1.09,8,1,10
1.28,13,1,12
6.25,3,1,12
2.88,7,0,14
7.69,18,0,12
7.14,13,0,12
6.93,36,0,12
1.56,4,0,12
1.98,8,1,10
8.75,24,0,16
4.81,31,0,12
4.71,16,0,13
4.87,10,0,13
4.62,10,0,13
2.4,12,0,12
5.34,20,0,12
4.21,13,0,12
4.72,9,0,13
12.82,15,0,13
6.73,34,0,10
5.39,8,0,14
5.31,3,0,17
10.58,19,0,16
8.65,10,0,13
4.17,13,0,10
6.81,7,0,12
9.62,21,0,16
1.22,10,1,5
1.79,20,1,8
1.61,25,1,12
1.68,4,1,12
3.29,35,1,12
2.31,15,1,10
1.92,24,1,16
